Price,Address,Description,Bed_Bath,Lease_Type,Room_Info,Gender,Scraped_At
$3600 / Month,,"590 Canewood Cres, Waterloo",4 Bed 2 Bath,Fall Lease,4 of 4 rooms,Coed,2025-08-02 18:56:08
$2100 / Month,"308 King St N, Waterloo",2 Bed 1 Bath apartment on 308 king,2 Bed 1 Bath,Fall Lease,2 of 2 rooms,Coed,2025-08-02 18:56:08
$975 / Month,"333 King St N, Waterloo",1 bedroom + ensuite lease takeover,,Fall Lease,1 of 4 rooms,Male Only,2025-08-02 18:56:09
$2600 / Month,"130 Columbia St W, Waterloo",The HUB 2b2b Fall Sublet,,Fall Lease,2 of 2 rooms,Coed,2025-08-02 18:56:09
$850 / Month,,2 bedrooms available in shared house,,Fall Lease,2 of 4 rooms,Male Only,2025-08-02 18:56:09
$800 / Month,"109 Blythwood Rd, Waterloo","109 Blythwood Rd, Waterloo",,Fall Lease,5 of 7 rooms,Coed,2025-08-02 18:56:09
$2625 / Month,"130 Columbia St W, Waterloo",Spacious 2 bed 2 bath with balcony attached,2 Bed 2 Bath,Fall Lease,2 of 2 rooms,Coed,2025-08-02 18:56:09
$2635 / Month,"130 Columbia St W, Waterloo",The HUB 2 Beds 2 Baths Lease Takeover,2 Bed 2 Bath,Fall Lease,2 of 2 rooms,Coed,2025-08-02 18:56:09
$1006 / Month,"350 Columbia St W, Waterloo",UWaterloo Columbia Lake Village South (CLVS) Single ...,,Fall Lease,1 of 4 rooms,Male Only,2025-08-02 18:56:09
$1650 / Month,,"368 Vogel Pl, Waterloo",,Fall Lease,1 of 1 rooms,Coed,2025-08-02 18:56:09
$1200 / Month,"308 King St N, Waterloo",1 bedroom in a 2b1b at 308 King,,Fall Lease,1 of 2 rooms,Male Only,2025-08-02 18:56:09
$900 / Month,"271 Lester St, Waterloo",,,Fall 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:09
$875 / Month,,"357 Anatolin Pl, Waterloo",,Fall Lease,1 of 4 rooms,Coed,2025-08-02 18:56:09
$900 / Month,"303 King St N, Waterloo",Furnished 1-Bedroom for Rent – Flexible Pricing ...,,Fall 4 Month,1 of 4 rooms,Male Only,2025-08-02 18:56:09
$705 / Month,"54 Dorset St, Waterloo",Room in Uptown Waterloo House,,Fall Lease,1 of 5 rooms,Male Only,2025-08-02 18:56:09
$4355 / Month,"255 Sunview St, Waterloo",4 bed apt for Spring '26 or lease take over (free ...,,Spring 4 Month,4 of 4 rooms,Coed,2025-08-02 18:56:09
$4355 / Month,"255 Sunview St, Waterloo",Fall Lease4 Rooms (of 4)Coed,,Fall Lease,4 of 4 rooms,Coed,2025-08-02 18:56:09
$4355 / Month,"255 Sunview St, Waterloo",4 bed apt for Fall sublet or lease take over (free ...,,Fall 4 Month,4 of 4 rooms,Coed,2025-08-02 18:56:09
$1000 / Month,"345 King St N, Waterloo",Spacious 1 Bedroom,,Winter 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:09
$1000 / Month,"280 Lester St, Waterloo",Fall Lease1 Room (of 3)Female Only,,Fall Lease,1 of 3 rooms,Male Only,2025-08-02 18:56:09
$1125 / Month,"330 Phillip St, Waterloo",Luxurious 2 bedroom apartment,,Fall Lease,1 of 2 rooms,Male Only,2025-08-02 18:56:09
$1282 / Month,"181 Lester St, Waterloo",,,Winter 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:09
$1220 / Month,"315 King St N, Waterloo",Spacious Room At Preston House ALL GIRLS,,Fall Lease,1 of 5 rooms,Male Only,2025-08-02 18:56:09
$950 / Month,"30 Hickory St E, Waterloo",September 2025 Sublet (1 year),,Fall Lease,1 of 3 rooms,Male Only,2025-08-02 18:56:09
$725 / Month,"208 Sunview St, Waterloo",,,Winter 4 Month,2 of 5 rooms,Coed,2025-08-02 18:56:09
$750 / Month,"1249 King St N, St Jacobs",Affordable Room for Rent,,Fall 8 Month,1 of 4 rooms,Coed,2025-08-02 18:56:09
$745 / Month,"36 Columbia St W, Waterloo",4 Bedroom House For Rent,,Fall Lease,4 of 4 rooms,Coed,2025-08-02 18:56:09
$2799 / Month,"145 Columbia St W, Waterloo",Fall Lease2 Rooms (of 2)Coed,,Fall Lease,2 of 2 rooms,Coed,2025-08-02 18:56:09
$735 / Month,"21 Columbia St W, Waterloo",,,Winter 8 Month,2 of 5 rooms,Male Only,2025-08-02 18:56:09
$925 / Month,"437 Albert St, Waterloo",,,Winter 4 Month,1 of 5 rooms,Coed,2025-08-02 18:56:10
$950 / Month,2 bedrooms available on Keats Way,"463 Midwood Cres, Waterloo",,Fall Lease,2 of 4 rooms,Male Only,2025-08-02 18:56:14
$1295 / Month,"250 Phillip St, Waterloo",252 phillip street Hespler house,,Winter Lease,1 of 4 rooms,Male Only,2025-08-02 18:56:14
$800 / Month,"30 Hickory St E, Waterloo",3 Beds 1 Bath Apartment,3 Bed 1 Bath,Fall Lease,3 of 3 rooms,Coed,2025-08-02 18:56:14
$800 / Month,"318 Bluevale St N, Waterloo",Fully-furnished Single Bedroom,,Fall Lease,1 of 3 rooms,Male Only,2025-08-02 18:56:14
$1740 / Month,"280 Phillip St, Waterloo",F25 1B1B WCRI Fenwick sublet,,Fall 4 Month,1 of 1 rooms,Coed,2025-08-02 18:56:14
Fall 4 Month 1 Room (of 1)Coed,,,,Fall 4 Month,1 of 1 rooms,Coed,2025-08-02 18:56:14
$1000 / Month,,"193 Shadow Wood Crt, Waterloo",,Fall Lease,1 of 3 rooms,Male Only,2025-08-02 18:56:14
$1160 / Month,"256 Lester St, Waterloo",2b1b for rent,,Winter 8 Month,1 of 2 rooms,Male Only,2025-08-02 18:56:14
Winter 8 Month 1 Room (of 2)Female Only,,,,Winter 8 Month,1 of 2 rooms,Male Only,2025-08-02 18:56:14
$1050 / Month,"275 Larch St, Waterloo",Fall Lease1 Room (of 2)Coed,1 Bed 1 Bath,Fall Lease,1 of 2 rooms,Coed,2025-08-02 18:56:14
$925 / Month,"181 Lester St, Waterloo",,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:14
Spring 4 Month 1 Room (of 5)Male Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:14
$1225 / Month,"18 James St, Waterloo",Fall 2025 Sublet – Female Only | 1 Bed + Ensuite ...,,Fall 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:14
Fall 4 Month 1 Room (of 5)Female Only,,,,Fall 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:14
$700 / Month,"275 Larch St, Waterloo",1 Cozy Bedroom in Spacious Unit,,Spring Lease,1 of 2 rooms,Male Only,2025-08-02 18:56:14
$850 / Month,"450 Hazel St, Waterloo","spacious rooms, large wide house dual wifi - see ...",,Fall Lease,8 of 8 rooms,Coed,2025-08-02 18:56:14
$1050 / Month,,"Karlsfeld Rd, Waterloo",,Fall Lease,1 of 4 rooms,Coed,2025-08-02 18:56:14
$650 / Month,"374 Holly St, Waterloo",Fall Lease4 Rooms (of 4)Coed,,Fall Lease,4 of 4 rooms,Coed,2025-08-02 18:56:15
$700 / Month,"534 Teakwood Dr, Waterloo","534 Teakwood Dr, Waterloo",,Fall Lease,1 of 4 rooms,Coed,2025-08-02 18:56:15
$974 / Month,"345 King St N, Waterloo",Bedroom With Own Bathroom - Sept. to Dec. 2025 ...,,Fall 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:15
Fall 4 Month 1 Room (of 5)Female Only,,,,Fall 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:15
$825 / Month,"67 Culpepper Dr, Waterloo","67 Culpepper Dr, Waterloo",,Fall Lease,4 of 4 rooms,Male Only,2025-08-02 18:56:15
$3300 / Month,"132 Marshall St, Waterloo",5 bedroom house on Marshall street!,,Fall Lease,5 of 5 rooms,Coed,2025-08-02 18:56:15
$1200 / Month,"338 Albert St, Waterloo",Spacious 3 bedroom townhouse,,Fall Lease,2 of 3 rooms,Coed,2025-08-02 18:56:15
$1178 / Month,"345 King St N, Waterloo",Spacious 1 bedroom (5b3b),,Fall 4 Month,1 of 5 rooms,Coed,2025-08-02 18:56:15
Fall 4 Month 1 Room (of 5)Coed,,,,Fall 4 Month,1 of 5 rooms,Coed,2025-08-02 18:56:15
$1000 / Month,"8 Hickory St W, Waterloo",1B 1B private room with double bed!! (1 Year Lease) ...,,Fall Lease,2 of 5 rooms,Male Only,2025-08-02 18:56:15
$1000 / Month,"345 King St N, Waterloo",Spacious 1 Bedroom,,Winter 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:15
Winter 4 Month 1 Room (of 5)Male Only,,,,Winter 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:15
$1050 / Month,"250 Lester St, Waterloo",,,Spring 8 Month,1 of 3 rooms,Male Only,2025-08-02 18:56:15
Spring 8 Month 1 Room (of 3)Female Only,,,,Spring 8 Month,1 of 3 rooms,Male Only,2025-08-02 18:56:15
$1900 / Month,"250 Albert St, Waterloo",,,Fall 4 month,1 of 1 rooms,Coed,2025-08-02 18:56:15
Fall 4 Month 1 Room (of 1)Coed,,,,Fall 4 Month,1 of 1 rooms,Coed,2025-08-02 18:56:15
$550 / Month,"246 Lester St, Waterloo",246 Lester 1 bed 1 private bath FEMALE ONLY,,Spring 4 Month,1 of 2 rooms,Male Only,2025-08-02 18:56:15
Spring 4 Month 1 Room (of 2)Female Only,,,,Spring 4 Month,1 of 2 rooms,Male Only,2025-08-02 18:56:15
$910 / Month,"315 King St N, Waterloo",Spring Lease1 Room (of 5)Male Only,1 Bed 1 Bath,Spring Lease,1 of 5 rooms,Male Only,2025-08-02 18:56:15
$785 / Month,"325 Spruce St, Waterloo",Spacious Bedroom on Spruce,,Winter 8 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:15
Winter 8 Month 1 Room (of 5)Female Only,,,,Winter 8 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:15
$1100 / Month,"250 Phillip St, Waterloo",1/5 Rooms Elora House,,Fall 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:15
Fall 4 Month 1 Room (of 5)Female Only,,,,Fall 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:15
$899 / Month,,"176 Westcourt Pl, Waterloo",,Fall Lease,1 of 7 rooms,Coed,2025-08-02 18:56:15
$1225 / Month,"330 Phillip St, Waterloo",ICON 330 -1 Den Room in a 2 Bed 1 Bath Unit,2 Bed 1 Bath,Fall Lease,1 of 2 rooms,Male Only,2025-08-02 18:56:15
$1195 / Month,"333 King St N, Waterloo",1 bedroom and private bathroom,,Fall Lease,1 of 1 rooms,Male Only,2025-08-02 18:56:19
$967 / Month,"208 Sunview St, Waterloo",Lease Transfer,,Fall Lease,1 of 5 rooms,Male Only,2025-08-02 18:56:19
$1100 / Month,"252 Phillip St, Waterloo",Older Hespeler house lease for transfer,,Fall Lease,1 of 1 rooms,Coed,2025-08-02 18:56:19
$780 / Month,"98 McDougall Rd, Waterloo","98 McDougall Rd, Waterloo",,Winter Lease,1 of 3 rooms,Coed,2025-08-02 18:56:19
$1300 / Month,"308 King St N, Waterloo",1-Year Lease Takeover – 1 Room in 2B1B Female ...,,Fall Lease,1 of 2 rooms,Male Only,2025-08-02 18:56:20
$400 / Month,"134 Columbia St W, Waterloo",1 bed/bath available for Spring 2025,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:20
Spring 4 Month 1 Room (of 5)Male Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:20
$1000 / Month,"392 Albert St, Waterloo",Ensuite room (with private bathroom) at 392 Albert ...,,Fall Lease,1 of 5 rooms,Male Only,2025-08-02 18:56:20
$850 / Month,"65 Austin Dr, Waterloo","65 Austin Dr, Waterloo",,Winter 4 Month,4 of 4 rooms,Coed,2025-08-02 18:56:20
Winter 4 Month 4 Rooms (of 4)Coed,,,,Winter 4 Month,4 of 4 rooms,Coed,2025-08-02 18:56:20
$1000 / Month,,"193 Shadow Wood Crt, Waterloo",,Fall Lease,2 of 3 rooms,Male Only,2025-08-02 18:56:20
$929 / Month,"350 Lester St, Waterloo",1 Bed Fall 2025 Sublet Female Only,,Fall 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:20
Fall 4 Month 1 Room (of 5)Female Only,,,,Fall 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:20
$500 / Month,"315 King St N, Waterloo",1 BED AND BATH AVAILABLE FOR JULY AND AUGUST 2025 ...,,Spring Lease,1 of 5 rooms,Male Only,2025-08-02 18:56:20
$435 / Month,"50 High St, Waterloo",,,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:56:20
Spring 4 Month 1 Room (of 5)Coed,,,,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:56:20
$950 / Month,"41 Columbia St W, Waterloo",Fall Lease1 Room (of 5)Female Only,,Fall Lease,1 of 5 rooms,Male Only,2025-08-02 18:56:20
$675 / Month,"57 Columbia St W, Waterloo",Fall Lease1 Room (of 5)Female Only,,Fall Lease,1 of 5 rooms,Male Only,2025-08-02 18:56:20
$1100 / Month,,"Young St W, Waterloo",,Fall Lease,1 of 5 rooms,Male Only,2025-08-02 18:56:20
$1250 / Month,"330 Phillip St, Waterloo",Fall Lease1 Room (of 2)Male Only,,Fall Lease,1 of 2 rooms,Male Only,2025-08-02 18:56:20
$1083 / Month,"258 Sunview St, Waterloo",1 bedroom available in a 3 bed 2 bath on Sunview ...,1 Bed 2 Bath,Fall Lease,1 of 3 rooms,Male Only,2025-08-02 18:56:20
$1199.26 / Month,"328 Regina St N, Waterloo",Spacious 1 Bed + Bath in All Girls Apartment,,Fall 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:20
Fall 4 Month 1 Room (of 5)Female Only,,,,Fall 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:20
$1050 / Month,"259 Hazel St, Waterloo",F25-W26 8mo By Lazaridis | furnished and utilities ...,,Fall 8 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:20
Fall 8 Month 1 Room (of 5)Male Only,,,,Fall 8 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:20
$1120 / Month,"181 Lester St, Waterloo",1 Bdrm + Walkin Closet with Awesome view,,Fall 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:20
Fall 4 Month 1 Room (of 5)Male Only,,,,Fall 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:20
$895 / Month,"57 Columbia St W, Waterloo",Spacious and friendly all girls unit,,Fall Lease,1 of 5 rooms,Male Only,2025-08-02 18:56:20
$1850 / Month,"250 Albert St, Waterloo","Fully furnished suite (1 bed, 1 bath, with in ...",1 Bed 1 Bath,Spring Lease,1 of 1 rooms,Coed,2025-08-02 18:56:20
$700 / Month,"515 Country Squire Rd, Waterloo","515 Country Squire Rd, Waterloo",,Fall 4 Month,3 of 6 rooms,Male Only,2025-08-02 18:56:20
Fall 4 Month 3 Rooms (of 6)Male Only,,,,Fall 4 Month,3 of 6 rooms,Male Only,2025-08-02 18:56:20
$1250 / Month,"330 Phillip St, Waterloo",Fall Lease1 Room (of 2)Male Only,,Fall Lease,1 of 2 rooms,Male Only,2025-08-02 18:56:20
$919 / Month,"325 Lester St B, Waterloo",Fall Lease1 Room (of 5)Female Only,,Fall Lease,1 of 5 rooms,Male Only,2025-08-02 18:56:20
$900 / Month,"275 Larch St, Waterloo",1 bedroom in a cozy 3 bedroom apartment steps ...,,Fall Lease,1 of 3 rooms,Male Only,2025-08-02 18:56:20
$550 / Month,"246 Lester St, Waterloo",246 Lester 1 bed 1 private bath FEMALE ONLY,,Spring 4 Month,1 of 2 rooms,Male Only,2025-08-02 18:56:20
Spring 4 Month 1 Room (of 2)Female Only,,,,Spring 4 Month,1 of 2 rooms,Male Only,2025-08-02 18:56:20
$500 / Month,"1 Columbia St W, Waterloo",1 BED 1 BATH ENSUITE,1 Bed 1 Bath,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:20
Spring 4 Month 1 Room (of 5)Female Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:20
$875 / Month,"265 Thorncrest Dr, Waterloo","265 Thorncrest Dr, Waterloo",,Fall Lease,5 of 6 rooms,Male Only,2025-08-02 18:56:21
$474 / Month,"295 Lester St, Waterloo",Large Bedroom with PRIVATE ENSUITE bathroom,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:21
Spring 4 Month 1 Room (of 5)Female Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:21
$800 / Month,,"198 Pine Grove Cres, Waterloo",,Winter 8 Month,2 of 3 rooms,Coed,2025-08-02 18:56:25
Winter 8 Month 2 Rooms (of 3)Coed,,,,Winter 8 Month,2 of 3 rooms,Coed,2025-08-02 18:56:25
$535 / Month,"203 Lester St, Waterloo",,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:25
Spring 4 Month 1 Room (of 5)Female Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:25
$400 / Month,"110 University Ave W, Waterloo",Spacious Bedroom with Ensuite Washroom (RENT NEGOTIABLE) ...,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:25
Spring 4 Month 1 Room (of 5)Female Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:25
$650 / Month,"261 Lester St, Waterloo",,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:25
Spring 4 Month 1 Room (of 5)Female Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:25
$1050 / Month,"250 Lester St, Waterloo",Lester St Apartment available starting Fall 25 ...,,Fall Lease,1 of 3 rooms,Male Only,2025-08-02 18:56:25
$750 / Month,"280 Lester St, Waterloo",1 bed in 3 bedroom apartment,,Spring Lease,1 of 3 rooms,Coed,2025-08-02 18:56:25
$850 / Month,"35 Columbia St W, Waterloo","1 Bedroom in 5-Bedroom, - Available fall 2025 ...",,Fall Lease,1 of 5 rooms,Male Only,2025-08-02 18:56:25
$650 / Month,"330 Phillip St, Waterloo",Clean & Quiet ICON bedroom for rent,,Spring 4 Month,1 of 2 rooms,Male Only,2025-08-02 18:56:25
Spring 4 Month 1 Room (of 2)Female Only,,,,Spring 4 Month,1 of 2 rooms,Male Only,2025-08-02 18:56:25
$1200 / Month,"328 Regina St N, Waterloo",Spacious 1 Bedroom with Private Washroom,,Fall Lease,1 of 5 rooms,Male Only,2025-08-02 18:56:25
$600 / Month,"325B Lester St, Waterloo",,,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:56:25
Spring 4 Month 1 Room (of 5)Coed,,,,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:56:25
$800 / Month,"254 Toll Gate Blvd, Waterloo","254 Toll Gate Blvd, Waterloo",,Fall Lease,1 of 5 rooms,Male Only,2025-08-02 18:56:25
$700 / Month,"16 Columbia St W, Waterloo",,,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:56:25
Spring 4 Month 1 Room (of 5)Coed,,,,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:56:25
$1000 / Month,,"193 Shadow Wood Crt, Waterloo",,Fall Lease,2 of 3 rooms,Male Only,2025-08-02 18:56:25
$800 / Month,"258 Sunview St, Waterloo",Spring Lease1 Room (of 2)Male Only,,Spring Lease,1 of 2 rooms,Male Only,2025-08-02 18:56:25
$909 / Month,,"5 Cardill Cres, Waterloo",5 Bed 2 Bath,FALL LEASE,2 of 5 rooms,Coed,2025-08-02 18:56:25
$400 / Month,"253 Lester St, Waterloo",1 Bedroom (GIRLS) - All Utilities included,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:25
Spring 4 Month 1 Room (of 5)Female Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:25
$925 / Month,"330 Spruce St, Waterloo",Large Furnished Bedroom with en-suite available! ...,,Fall 8 Month,1 of 4 rooms,Male Only,2025-08-02 18:56:25
Fall 8 Month 1 Room (of 4)Male Only,,,,Fall 8 Month,1 of 4 rooms,Male Only,2025-08-02 18:56:25
$600 / Month,"55 Duke St W, Kitchener",One bedroom with bathroom,,Spring 4 Month,1 of 2 rooms,Coed,2025-08-02 18:56:25
Spring 4 Month 1 Room (of 2)Coed,,,,Spring 4 Month,1 of 2 rooms,Coed,2025-08-02 18:56:25
$500 / Month,"386 Hazel St, Waterloo",1 Bedroom available near Hazel & Columbia,,Spring 4 Month,1 of 6 rooms,Male Only,2025-08-02 18:56:25
Spring 4 Month 1 Room (of 6)Male Only,,,,Spring 4 Month,1 of 6 rooms,Male Only,2025-08-02 18:56:26
$450 / Month,"118 Columbia St W, Waterloo",JUNE TO AUGUST Columbia/Albert,,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:56:26
Spring 4 Month 1 Room (of 5)Coed,,,,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:56:26
$750 / Month,"81 Columbia St W, Waterloo",Spacious Bedroom Available Immediately,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:26
Spring 4 Month 1 Room (of 5)Female Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:26
$500 / Month,"350 Lester St, Waterloo",Spacious Bedroom Fully Furnished,,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:56:26
Spring 4 Month 1 Room (of 5)Coed,,,,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:56:26
$750 / Month,"261 Lester St, Waterloo",Rooms Available for Rent!!,,Spring Lease,5 of 5 rooms,Male Only,2025-08-02 18:56:26
$800 / Month,"392 Albert St, Waterloo",Spacious room available for Summer,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:26
Spring 4 Month 1 Room (of 5)Female Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:26
$750 / Month,"41 Austin Dr, Waterloo","41 Austin Dr, Waterloo",,Fall 4 Month,1 of 4 rooms,Male Only,2025-08-02 18:56:26
Fall 4 Month 1 Room (of 4)Male Only,,,,Fall 4 Month,1 of 4 rooms,Male Only,2025-08-02 18:56:26
$500 / Month,"275A Larch St, Waterloo",,,Spring 4 Month,2 of 3 rooms,Coed,2025-08-02 18:56:26
Spring 4 Month 2 Rooms (of 3)Coed,,,,Spring 4 Month,2 of 3 rooms,Coed,2025-08-02 18:56:26
$600 / Month,"534 Teakwood Dr, Waterloo","534 Teakwood Dr, Waterloo",,Fall Lease,4 of 4 rooms,Coed,2025-08-02 18:56:26
$800 / Month,"255 Sunview St, Waterloo",Fully furnished 1 bedroom available in 3 bedroom ...,,Spring 4 Month,1 of 3 rooms,Coed,2025-08-02 18:56:26
Spring 4 Month 1 Room (of 3)Coed,,,,Spring 4 Month,1 of 3 rooms,Coed,2025-08-02 18:56:26
$800 / Month,"257 Hemlock St, Waterloo",August Sublet - spacious studio,,Fall Lease,1 of 1 rooms,Coed,2025-08-02 18:56:26
$950 / Month,,"284 Westcourt Pl, Waterloo",,Winter 4 Month,3 of 4 rooms,Male Only,2025-08-02 18:56:26
Winter 4 Month 3 Rooms (of 4)Female Only,,,,Winter 4 Month,3 of 4 rooms,Male Only,2025-08-02 18:56:26
$399 / Month,"321 Lester St, Waterloo",Spacious one bed room available,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:30
Spring 4 Month 1 Room (of 5)Female Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:30
$1200 / Month,"328 Regina St N, Waterloo",Spacious all inclusive ensuite in Bridgeport house ...,,Fall Lease,1 of 1 rooms,Male Only,2025-08-02 18:56:30
$850 / Month,"268 Phillip St, Waterloo",,,Spring 4 Month,1 of 3 rooms,Male Only,2025-08-02 18:56:30
Spring 4 Month 1 Room (of 3)Female Only,,,,Spring 4 Month,1 of 3 rooms,Male Only,2025-08-02 18:56:30
$500 / Month,"268 Phillip St, Waterloo",,,Spring 4 Month,1 of 4 rooms,Male Only,2025-08-02 18:56:30
Spring 4 Month 1 Room (of 4)Male Only,,,,Spring 4 Month,1 of 4 rooms,Male Only,2025-08-02 18:56:30
$750 / Month,"653 Interlaken Dr, Waterloo","653 Interlaken Dr, Waterloo",,Spring Lease,3 of 4 rooms,Coed,2025-08-02 18:56:30
$919 / Month,"325 Lester St B, Waterloo",,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:30
Spring 4 Month 1 Room (of 5)Female Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:30
$550 / Month,"246 Lester St, Waterloo",246 Lester 1 bed 1 private bath FEMALE ONLY,,Spring 4 Month,1 of 2 rooms,Male Only,2025-08-02 18:56:30
Spring 4 Month 1 Room (of 2)Female Only,,,,Spring 4 Month,1 of 2 rooms,Male Only,2025-08-02 18:56:30
$994 / Month,"333 King St N, Waterloo",Fall Lease1 Room (of 4)Male Only,,Fall Lease,1 of 4 rooms,Male Only,2025-08-02 18:56:30
$850 / Month,,"164 Westcourt Pl, Waterloo",,Spring 4 Month,1 of 1 rooms,Coed,2025-08-02 18:56:30
Spring 4 Month 1 Room (of 1)Coed,,,,Spring 4 Month,1 of 1 rooms,Coed,2025-08-02 18:56:30
$500 / Month,,"64 Cardill Cres, Waterloo",,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:30
Spring 4 Month 1 Room (of 5)Female Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:30
$475 / Month,"330 Phillip St, Waterloo",,,Spring 4 Month,2 of 3 rooms,Male Only,2025-08-02 18:56:30
Spring 4 Month 2 Rooms (of 3)Female Only,,,,Spring 4 Month,2 of 3 rooms,Male Only,2025-08-02 18:56:30
$500 / Month,"181 Lester St, Waterloo",Room at 181 Lester for the summer,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:30
Spring 4 Month 1 Room (of 5)Male Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:30
$875 / Month,"1 Columbia St W, Waterloo",Fall Lease1 Room (of 5)Coed,1 Bed 1 Bath,Fall Lease,1 of 5 rooms,Coed,2025-08-02 18:56:31
$600 / Month,"339 King St N, Waterloo",Spacious 1 Bedroom with ensuite bathroom,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:31
Spring 4 Month 1 Room (of 5)Male Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:31
$580 / Month,"350 Lester St, Waterloo",Spring sublet!!,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:31
Spring 4 Month 1 Room (of 5)Female Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:56:31
$1100 / Month,,"Karlsfeld Rd Unit B, Waterloo",,Fall Lease,1 of 1 rooms,Coed,2025-08-02 18:56:31
$949 / Month,"185 King St N, Waterloo",Fall Lease1 Room (of 5)Coed,,Fall Lease,1 of 5 rooms,Coed,2025-08-02 18:56:31
$500 / Month,"330 Phillip St, Waterloo",,,Spring 4 Month,1 of 4 rooms,Male Only,2025-08-02 18:56:31
Spring 4 Month 1 Room (of 4)Female Only,,,,Spring 4 Month,1 of 4 rooms,Male Only,2025-08-02 18:56:31
$650 / Month,"330 Phillip St, Waterloo",Bedroom in Icon,,Spring 4 Month,1 of 3 rooms,Coed,2025-08-02 18:56:31
Spring 4 Month 1 Room (of 3)Coed,,,,Spring 4 Month,1 of 3 rooms,Coed,2025-08-02 18:56:31
$600 / Month,"228 Albert St, Waterloo",Three bedroom one bath available spring term 2025 ...,,Spring 4 Month,3 of 3 rooms,Coed,2025-08-02 18:56:31
